repo;metric;value
SAP/devops-cm-client;ContainsPropertiesCount;0
SAP/devops-cm-client;ContainsActivationCount;0
SAP/devops-cm-client;ContainsTestsCount;0
SAP/devops-cm-client;ContainsDevCount;0
SAP/devops-cm-client;ContainsProdCount;0
SAP/devops-cm-client;PropertiesContainsVersionCount;0
SAP/hana-liquibase;ProfilesCount;1
SAP/hana-liquibase;ContainsReleaseCount;1
SAP/hana-liquibase;ContainsPropertiesCount;0
SAP/hana-liquibase;ContainsActivationCount;1
SAP/hana-liquibase;ContainsTestsCount;0
SAP/hana-liquibase;ContainsDevCount;0
SAP/hana-liquibase;ContainsProdCount;0
SAP/hana-liquibase;PropertiesContainsVersionCount;0
SAP/pair-distribution-app;ProfilesCount;1
SAP/pair-distribution-app;ContainsReleaseCount;0
SAP/pair-distribution-app;ContainsPropertiesCount;0
SAP/pair-distribution-app;ContainsActivationCount;1
SAP/pair-distribution-app;ContainsTestsCount;0
SAP/pair-distribution-app;ContainsDevCount;1
SAP/pair-distribution-app;ContainsProdCount;1
SAP/pair-distribution-app;PropertiesContainsVersionCount;0
SAP/scimono;ProfilesCount;1
SAP/scimono;ContainsReleaseCount;1
SAP/scimono;ContainsPropertiesCount;0
SAP/scimono;ContainsActivationCount;0
SAP/scimono;ContainsTestsCount;0
SAP/scimono;ContainsDevCount;0
SAP/scimono;ContainsProdCount;0
SAP/scimono;PropertiesContainsVersionCount;0
SAP/spring-cloud-sap;ProfilesCount;1
SAP/spring-cloud-sap;ContainsReleaseCount;1
SAP/spring-cloud-sap;ContainsPropertiesCount;0
SAP/spring-cloud-sap;ContainsActivationCount;0
SAP/spring-cloud-sap;ContainsTestsCount;0
SAP/spring-cloud-sap;ContainsDevCount;0
SAP/spring-cloud-sap;ContainsProdCount;0
SAP/spring-cloud-sap;PropertiesContainsVersionCount;0
SonarSource/SonarJS;ProfilesCount;1
