TITLE;ISSUE_ID;LOGS;COMMITS;ASSIGNES;COMMENTS;OPEN
"ARB Serializer -> missing ""meaning"" on extracted translation files";40506;0;3;0;3;0
Add a customizable nonce attribute to injected style elements - CSP;26152;0;0;0;8;1
asynchronous providers;23279;0;0;0;47;1
scrollPositionRestoration has several problems;24547;0;0;0;94;1
Feature: Intentionally Don't Encapsulate Specified Style;23525;0;0;0;14;0
When Upgrading from Angular 10 to Angular 11  missing-injectable Schematic Throws Exception;39953;0;0;0;8;0
Default CSS Encapsulation does not prevent bleed out when using /deep/;13724;0;0;0;3;0
host-context selector combined with html element issue;31478;0;0;0;2;0
Error with compile `:host-context` and `:host` in component styles;19572;0;0;0;2;0
ViewEncapusulation doesn't work as expected when assigning css styles.... VE.Native and VE.None produce intended results but not VE.Emulated (default);15312;0;0;1;11;1
Feature: ViewEncapsulation option to inherit style rules from parent;26298;0;0;0;8;0
feat: `::part` support in Angular's Emulated CSS parser ;22515;0;0;0;4;1
Emulated style encapsulation inheritance does not match native or shadow DOM;29575;0;0;0;3;0
CSS on recursive component results in `-shadowcsshost` pattern;19445;0;0;0;8;0
Angular 11: FormGroup Code Which Worked Using Angular 10 Now Fails;40222;1;0;1;13;0
setControl in reactive forms does not bind disabled status to controls in html;40530;1;0;0;1;0
A runtime error is thrown when calling `detectChanges`  inside the `transform` method of a pipe.;38611;0;8;1;5;0
extract-i18n produces wrong equiv-text for files with CRLF ;40169;0;7;1;5;0
Adding Navigation Id generator issue;40238;0;0;0;2;0
onDestroy on ComponentRef isn't called in production mode;40105;0;8;1;2;0
"Karma tests exit with ""Cannot read property 'range' of undefined"" with node >=v14.15.2";40232;0;0;0;2;0
Allow passing validator classes to the FormControl constructor;24981;0;0;1;0;1
No ability to set validation status of AngularJS form from Angular component (ngModel  Upgrade Provider);23085;0;0;0;4;1
Form validators re-run on view (re)creation;19465;0;0;0;2;1
PWA that polls the server never updates to a newer version;40207;0;5;1;4;0
"Lazy-loaded module in new project gives ""ɵɵdefineComponent is not a function"" / Fixed by changing .browserslistrc";38865;1;0;0;15;0
Angular project not at all loading in IE11. Error: Invalid range in character set;38975;1;0;0;2;0
rxjs Observable or Subject instead EventEmitter;34394;0;0;0;13;1
Recursion of components (and circular imports) doesn't work in Ivy built libraries;35602;0;0;0;21;1
Regression in compiler-cli 10.1.0+: build is 10x times slower;39274;0;0;0;11;0
Router Animation query empty list error;16917;0;0;1;22;1
Allow view creation during change detection;15634;0;7;0;41;1
@angular/bazel peer-depends on deprecated rollup packages;35149;0;0;0;2;1
Angular Elements should preserve/forward component methods;22114;0;0;0;20;1
Function calls are not supported in decorators when fullTemplateTypeCheck is not specified and @dynamic has no effect;23609;0;9;0;109;1
Discriminated union types not resolved properly with ngSwitch;34522;0;0;0;22;1
Running tests in angular repo fail for firefox tests;40375;0;0;0;5;1
Component/declarative error handling (ala React 16's <ErrorBoundary/>);18509;0;0;0;6;1
Doesn't navigate to child route with empty path if defined after another route with common ancestor path;12904;0;0;0;3;1
Resolve not invoked with lazy-loaded module using loadChildren as promise;37625;0;0;0;6;0
Deactivate guards with eager URL updating do not trigger navigations if they ever return false;40194;1;0;0;2;0
ngFor should optionally show a template when there are no items in the collection;14479;0;8;0;27;0
Using `{{` and `}}` in strings in templates breaks the compiler;40133;1;0;0;8;0
schematic for waitforasync not taking effect?;40100;0;0;0;10;0
Passing dynamic value in @Input not working in web components (angular-elements);40155;1;0;0;6;0
Template variables does not exist if *ngIf is used;40126;0;0;0;10;0
Implement Google Analytics tracking via gtag.js instead of analytics.js;22260;0;2;0;4;1
Sourcemap path in current bundle isn't being formed properly;14021;0;7;0;9;1
Add template input variable to glossary;39783;1;2;0;3;1
Problem when adding dynamically a component with g[test] selector in SVG;10404;0;0;0;22;1
Document what is <ng-content> tag and how content projection works;17983;0;0;1;22;1
TestBed.overrideComponent fails with bazel;37072;0;0;0;6;0
Angular Reactive forms custom form controls inconsistency in validations after conditionally recreated by angular;26792;0;0;0;5;0
Directives don't clear provided NG_VALIDATORS when destroyed;34538;0;0;0;2;0
TestBed.overrideProvider ngOnDestroy not called on fake provider;35685;0;0;0;2;0
Casing issue in HttpClient ;40146;1;0;0;4;0
ng extract-i18n duplicates `context-group` unnecessarily ;39942;0;6;0;7;0
[BUG]: Component implementing ControlValueAccessor used inside ngFor loses data;37920;0;3;1;1;1
Changing form control name attribute issue.;38465;0;3;1;0;1
Zoneless async router guards break change detection;37223;0;3;1;3;1
Add a section about testing structural directive ;40382;0;0;1;2;1
Angular elements can't inherit hierarchical dependencies;40104;1;0;0;3;0
TestBed overridden providers always registered in NgModule injector;39080;0;2;1;1;1
routerLinkActive applies active class to null routerLink;18347;0;1;0;13;1
Docs CheckAlways missing link;29751;0;1;1;2;1
Allow Route['resolve'] to be a single value/observable/promise;25430;0;4;0;6;1
"Repeated navigation attempts not possible when canDeactivate guard turns down initial navigation and urlUpdateStrategy set to ""eager""";28561;0;0;0;4;1
mat-form formControl error;39973;1;0;0;4;0
