TITLE,ISSUE_ID,LOGS,COMMITS,ASSIGNES,COMMENTS
Add markAllAsTouched and clear method to example doc,30439,1,2,0,2
HttpObserve should be exported and documented,18146,0,3,0,12
Load Function for IMG Element Does Not Work As Expected,39893,1,0,0,9
Angular Ivy causes objects not rendering correctly when implemented toString and valueOf,38839,0,7,1,4
Update `creating-libraries` angular.json code snippet for v11,39887,0,3,0,1
Provide an ability to use wildcard (`*`) in ContentChild(ren) queries,39875,0,0,0,4
Bug in firefox,39874,1,0,0,3
Auxillary routes / named outlets don't seem to work like one would expect,37692,1,0,0,5
Slots broken in Angular Elements,39869,0,0,0,2
Angular 11 - router.navigate with queryParamsHandling 'merge' or 'preserve' does not preserve parameters,39803,0,0,0,3
`RangeError: Maximum call stack size exceeded` in `@angular/animations` module,38551,0,5,0,4
Forms.d.ts crashing the entire application,39836,1,0,0,4
"Broken link in ""Generation schematics"" section.",39796,0,3,0,1
Ivy (aot) Could not resolve [object Object] / undefined at Scope.resolve,39744,1,3,0,6
Please make Angular support HammerJs's doubletap.,23954,0,7,0,2
Angular component which references its own type and decorated by class decorator is broken when target es5 + enableIvy=true,39509,1,4,1,6
HttpClient do not detect header params,20554,0,0,0,38
compiler-cli: ngtools should accept `useFactory` (lazy routes),15305,0,0,0,7
node_modules/__ngcc_entry_points__.json causes issues with `pnpm install`,38023,1,0,0,5
IVY writes metadata into our symlinked monorepo's non-angular library's package.json,33395,0,0,0,61
Following a bookmarked link in safari breaks dynamic page titles,35972,0,0,0,3
Pattern Validator: The RegExp object keeps track of the lastIndex where a match occurred  it can cause unexpected results,14669,0,4,0,5
"Failed to load module script: The server responded with a non-JavaScript MIME type of ""text/html""",39759,0,0,0,6
ng generate library button - Invalid blueprint: library,39799,0,0,0,1
Error: Error: Could not resolve [object Object] / undefined,39798,1,0,0,2
dataGroups version increase not updating new files in mobile chrome,38610,0,0,0,3
getAnimationStyle causes exceptions in older browsers,24094,0,0,1,15
deepest outlet path as string with nested outlets path is parsed as multiple child routes,18928,0,4,0,4
ng extract-i18n extracts incorrect `equiv-text` value,39671,0,5,0,7
ViewportScroller getScrollPosition does not work in Internet Explorer,27957,0,0,0,5
Attribute in deps stopped working with Ivy,36479,1,17,1,2
"Form with only disabled elements has ""{valid: false  invalid: false}""",39754,0,0,0,3
